OBJECTID,price,m2,rooms_number,market,building_type,floor_no,building_floor,windows_type,heating,build_year,construction,rent,building_ownership,latitude,longitude,building_material,metro_distance,bust_tram_distance,rail_distance,centre_travel_time,park_distance,uniqueID,district_numerical,is_duplicate,labels,geometry
1929,1098000.0,57.0,4,1,1,3,7,1,5,1966,0,700.0,1,52.2480424889,20.9889967442,9,831.4,33.07,1224.47,9,580.0,1934,9,False,0,POINT (20.9889967442 52.2480424889)
1519,880000.0,45.43,2,1,0,0,4,1,5,2008,0,1102.23,0,52.2400640524,20.9099347424,8,188.06,134.25,3308.54,22,677.0,1524,1,False,1,POINT (20.9099347424 52.2400640524)
2417,1999000.0,75.7,3,1,6,2,3,1,5,1939,0,1100.0,0,52.2352290617,21.059329828,1,1625.64,3.46,1490.05,9,491.0,2425,6,False,0,POINT (21.059329828 52.2352290617)
2313,1255000.0,52.44,2,1,6,3,4,1,5,1932,0,1000.0,1,52.2273131,21.0344544,1,1395.94,78.14,825.77,7,5.0,2320,9,False,0,POINT (21.0344544 52.2273131)
6259,560000.0,20.97,1,1,1,2,10,1,5,2019,3,353.0,0,52.2261,20.95683,9,904.63,120.57,422.32,13,528.0,6280,17,False,0,POINT (20.95683 52.2261)
4357,559000.0,44.7,2,1,1,11,12,1,5,1976,2,800.0,3,52.29991,21.04707,9,856.36,291.18,2416.37,26,657.0,4369,10,False,0,POINT (21.04707 52.29991)
477,734000.0,58.0,3,1,1,2,4,1,5,1970,2,750.0,1,52.19401,20.87076,4,5738.79,137.46,312.63,26,211.0,481,11,False,2,POINT (20.87076 52.19401)
5933,853000.0,62.5,3,1,1,3,16,1,5,1980,0,1100.0,0,52.2416808,21.0840602,4,2819.97,122.98,1802.09,14,748.0,5953,6,False,0,POINT (21.0840602 52.2416808)
3294,663875.0,28.25,1,1,0,2,6,1,5,2016,0,480.0,0,52.1791759864,21.0201474571,1,322.03,98.22,2267.08,17,1055.0,3303,4,False,1,POINT (21.0201474571 52.1791759864)
12601,888000.0,51.2,3,1,1,6,10,1,5,1982,0,720.0,0,52.14787,21.05112,9,267.17,226.03,4647.83,25,906.0,12646,12,False,2,POINT (21.05112 52.14787)
6059,11000000.0,162.0,4,1,0,11,52,0,5,2017,0,0.0,0,52.23541,21.00165,3,278.28,157.45,1282.28,5,202.0,6080,9,False,0,POINT (21.00165 52.23541)
2766,519000.0,25.0,1,1,1,0,10,1,5,1960,0,0.0,0,52.229676,21.012229,9,132.29,38.53,1151.55,0,784.0,2774,9,False,0,POINT (21.012229 52.229676)
7413,1600000.0,69.0,4,1,6,2,4,1,5,1950,0,1200.0,0,52.2510654,21.009556,9,863.22,345.26,1474.47,10,231.0,7436,9,False,0,POINT (21.009556 52.2510654)
7936,3500000.0,90.0,2,1,1,1,2,0,5,2019,0,0.0,3,52.18839,21.03904,9,1277.84,526.04,3669.04,19,440.0,7959,4,False,0,POINT (21.03904 52.18839)
6396,899000.0,49.0,2,1,1,2,5,1,5,2013,0,0.0,3,52.237077,21.114083,9,4929.99,126.21,1468.11,16,356.0,6417,6,False,0,POINT (21.114083 52.237077)
3666,759000.0,35.5,2,1,1,4,4,1,5,0,0,600.0,1,52.2037792,20.9806929,1,1897.49,227.55,1151.54,12,0.0,3675,5,False,0,POINT (20.9806929 52.2037792)
10226,3700000.0,170.0,5,1,1,3,5,1,5,1970,0,2500.0,0,52.2448337,21.0132785,9,780.18,63.92,1589.38,8,59.0,10259,9,False,0,POINT (21.0132785 52.2448337)
3565,1850000.0,75.47,4,1,0,2,9,1,5,2023,0,930.0,0,52.14033475,21.06105942,9,239.7,69.2,4965.04,28,608.0,3574,12,False,2,POINT (21.06105942 52.14033475)
5337,1100000.0,49.5,3,1,6,1,4,1,5,1954,0,0.0,3,52.20413,21.0136,1,494.43,18.85,2554.89,10,145.0,5357,4,False,0,POINT (21.0136 52.20413)
129,840000.0,63.0,3,1,1,6,12,1,5,1977,0,850.0,0,52.2755607,20.9166562922,9,1906.88,166.28,4346.83,23,854.0,130,3,False,1,POINT (20.9166562922 52.2755607)
11542,870000.0,63.4,4,1,1,4,11,1,5,1975,0,1000.0,1,52.1742468,21.0534194345,4,1836.55,175.43,4587.76,20,349.0,11582,4,False,1,POINT (21.0534194345 52.1742468)
6485,3150000.0,106.0,4,1,0,0,5,1,5,2020,0,1150.0,0,52.2612315,21.0462066,9,218.08,19.32,496.4,14,697.0,6506,7,False,0,POINT (21.0462066 52.2612315)
514,2690000.0,75.09,3,1,0,6,8,2,5,2015,0,1200.0,0,52.238,20.98577,9,865.51,168.17,1397.37,10,730.0,518,17,False,0,POINT (20.98577 52.238)
10645,850000.0,47.0,3,1,6,1,5,1,5,1953,2,580.0,0,52.2139248,20.9750019,1,1808.01,65.45,885.41,10,359.0,10681,5,False,0,POINT (20.9750019 52.2139248)
10095,845000.0,60.1,3,1,1,4,7,1,5,1981,0,720.0,1,52.2497122,20.9175141,4,1125.39,177.73,2851.08,22,420.0,10128,1,False,1,POINT (20.9175141 52.2497122)
12471,1115000.0,65.61,3,1,6,3,4,1,5,1957,0,1000.0,0,52.20274815,21.0245088714,1,915.3,74.35,3179.92,10,54.0,12516,4,False,0,POINT (21.0245088714 52.20274815)
12423,480000.0,30.36,1,0,0,10,11,1,5,2024,1,0.0,3,52.1933029,20.864677,3,6022.73,233.89,400.51,28,629.0,12468,11,False,2,POINT (20.864677 52.1933029)
983,799000.0,57.92,3,1,1,2,2,1,5,2023,0,730.0,0,52.3461258346,21.0507884633,9,5991.58,322.24,4608.25,28,1746.0,987,2,False,2,POINT (21.0507884633 52.3461258346)
