OBJECTID,price,m2,rooms_number,market,building_type,floor_no,building_floor,windows_type,heating,build_year,construction,rent,building_ownership,latitude,longitude,building_material,metro_distance,bust_tram_distance,rail_distance,centre_travel_time,park_distance,uniqueID,district_numerical
5884,637000.0,42.5,2,1,1,10,11,1,5,0,2,600.0,1,52.1825271945,21.0117839423,4,698.88,155.77,1711.11,16,972.0,5904,4
1108,1399000.0,68.0,3,1,0,3,3,1,5,2018,0,1100.0,0,52.1547875,21.07232935,1,1818.75,27.57,5942.39,24,785.0,1113,15
11218,849000.0,52.8,3,1,1,3,8,1,5,1980,0,850.0,1,52.1599662,21.0380097,4,437.43,133.54,3527.08,21,467.0,11258,12
5035,745000.0,35.5,2,1,6,3,3,2,5,1955,0,566.0,0,52.1974690222,21.0026407094,1,657.13,131.6,1577.17,13,707.0,5054,4
4309,1880000.0,90.86,3,1,1,6,6,1,5,2018,0,1000.0,0,52.18423,21.04468,9,1417.25,101.2,3965.98,18,737.0,4321,4
7225,480000.0,27.12,1,0,1,11,15,2,5,1970,2,440.0,1,52.20165495,21.0230719727,6,782.59,61.61,3048.6,11,124.0,7247,4
12884,579000.0,33.0,1,1,1,3,10,1,5,1975,0,430.0,1,52.17471,21.05853,9,2188.06,292.35,4927.03,21,678.0,12932,4
4093,830000.0,40.0,2,1,0,8,9,1,5,2019,0,0.0,0,52.2259379,20.9557654817,9,970.77,158.41,457.01,13,525.0,4105,17
8001,1022000.0,53.0,3,0,0,2,10,1,5,2026,3,0.0,0,52.2216155197,20.9550724365,9,1362.3,257.21,437.56,14,890.0,8024,17
7641,2040000.0,102.0,4,1,0,1,7,1,5,2017,0,1500.0,3,52.1762487,20.9988011,9,1723.99,139.97,918.91,20,790.0,7664,4
3843,585000.0,36.37,2,1,1,8,8,1,5,2023,1,600.0,0,52.20269,20.88192,8,4525.35,212.56,620.4,26,929.0,3852,11
13359,1294276.0,66.0,3,0,0,4,9,1,5,2025,1,0.0,3,52.1899919,21.0016905,9,982.63,50.92,1476.53,14,1138.0,13409,4
361,895000.0,74.09,4,1,1,1,3,1,5,1981,0,1030.0,0,52.316029,20.965343,4,3673.45,40.46,2294.02,21,798.0,363,2
10350,560000.0,42.5,2,1,1,4,4,1,5,1975,2,870.0,3,52.15162025,21.02825924,4,636.02,29.5,3216.74,20,370.0,10386,12
10785,571389.0,38.22,2,0,1,1,3,1,2,2025,1,382.2,0,52.284703603,21.0792353591,6,1158.43,273.65,755.05,21,548.0,10821,10
10650,1099000.0,79.5,3,1,1,1,3,1,5,2007,0,500.0,0,52.22273,21.14265,9,7259.3,236.34,471.46,20,1350.0,10686,13
2146,1100000.0,92.1,3,1,1,4,5,1,5,2000,0,1200.0,0,52.33104,20.93829,1,4415.79,221.5,3253.73,27,1264.0,2152,2
11617,750000.0,38.0,2,1,1,4,10,2,5,1965,2,450.0,0,52.2699287,20.9757213,4,250.61,202.14,1554.03,14,71.0,11658,18
4408,3750000.0,125.0,4,1,1,1,4,1,5,1927,3,1500.0,0,52.21658,20.98309,9,1454.12,79.09,940.88,9,95.0,4420,5
5772,390000.0,21.3,1,1,1,4,7,1,5,1960,2,275.0,0,52.2436737,21.0932926489,4,3416.91,85.93,1151.73,16,471.0,5792,6
736,1095000.0,44.19,2,1,6,4,9,1,5,0,0,0.0,0,52.2337961497,21.011267663,1,193.61,129.8,1128.53,7,349.0,740,9
